term	valence	subjectivity
hellion	negative	strongsubj
herald	positive	strongsubj
heresy	negative	strongsubj
heretic	negative	strongsubj
heretical	negative	strongsubj
hero	positive	strongsubj
heroic	positive	strongsubj
heroically	positive	strongsubj
heroine	positive	strongsubj
heroize	positive	strongsubj
heros	positive	strongsubj
hesitant	negative	strongsubj
hideous	negative	strongsubj
hideously	negative	strongsubj
hideousness	negative	strongsubj
highlight	positive	strongsubj
hilarious	positive	strongsubj
hilariously	positive	strongsubj
hilariousness	positive	strongsubj
hilarity	positive	strongsubj
hinder	negative	strongsubj
hindrance	negative	strongsubj
hm	neutral	strongsubj
hmm	neutral	strongsubj
hoard	negative	strongsubj
hoax	negative	strongsubj
hollow	negative	strongsubj
homage	positive	strongsubj
honest	positive	strongsubj
honestly	positive	strongsubj
honesty	positive	strongsubj
honor	positive	strongsubj
honorable	positive	strongsubj
hoodwink	negative	strongsubj
hope	positive	strongsubj
hopeful	positive	strongsubj
hopefully	positive	strongsubj
hopefulness	positive	strongsubj
hopeless	negative	strongsubj
hopelessly	negative	strongsubj
hopelessness	negative	strongsubj
hopes	positive	strongsubj
horrendous	negative	strongsubj
horrendously	negative	strongsubj
horrible	negative	strongsubj
horribly	negative	strongsubj
horrid	negative	strongsubj
horrific	negative	strongsubj
horrifically	negative	strongsubj
horrify	negative	strongsubj
horrifying	negative	strongsubj
horrifyingly	negative	strongsubj
horror	negative	strongsubj
horrors	negative	strongsubj
hospitable	positive	strongsubj
hostility	negative	strongsubj
hothead	negative	strongsubj
hotheaded	negative	strongsubj
hotbeds	negative	strongsubj
hubris	negative	strongsubj
huckster	negative	strongsubj
hug	positive	strongsubj
humane	positive	strongsubj
humankind	positive	strongsubj
humble	positive	strongsubj
humbling	negative	strongsubj
humiliate	negative	strongsubj
humiliating	negative	strongsubj
humiliation	negative	strongsubj
humility	positive	strongsubj
humor	positive	strongsubj
humorous	positive	strongsubj
humorously	positive	strongsubj
humour	positive	strongsubj
humourous	positive	strongsubj
hunger	negative	strongsubj
hypocrisy	negative	strongsubj
hypocrite	negative	strongsubj
hypocrites	negative	strongsubj
hypocritical	negative	strongsubj
hypocritically	negative	strongsubj
hysteria	negative	strongsubj
hysteric	negative	strongsubj
hysterical	negative	strongsubj
hysterically	negative	strongsubj
hysterics	negative	strongsubj
ideal	positive	strongsubj
idealize	positive	strongsubj
ideally	positive	strongsubj
idiocies	negative	strongsubj
idiocy	negative	strongsubj
idiot	negative	strongsubj
idiotic	negative	strongsubj
idiotically	negative	strongsubj
idiots	negative	strongsubj
idol	positive	strongsubj
idolize	positive	strongsubj
idolized	positive	strongsubj
idyllic	positive	strongsubj
ignoble	negative	strongsubj
ignominious	negative	strongsubj
ignominiously	negative	strongsubj
ignominy	negative	strongsubj
ignorance	negative	strongsubj
ignorant	negative	strongsubj
ill-advised	negative	strongsubj
ill-conceived	negative	strongsubj
ill-fated	negative	strongsubj
ill-favored	negative	strongsubj
ill-mannered	negative	strongsubj
ill-natured	negative	strongsubj
ill-sorted	negative	strongsubj
ill-tempered	negative	strongsubj
ill-treated	negative	strongsubj
ill-treatment	negative	strongsubj
ill-usage	negative	strongsubj
ill-used	negative	strongsubj
illogic	negative	strongsubj
illogical	negative	strongsubj
illogically	negative	strongsubj
illuminate	positive	strongsubj
illuminati	positive	strongsubj
illuminating	positive	strongsubj
illumine	positive	strongsubj
illusion	negative	strongsubj
illusions	negative	strongsubj
illusory	negative	strongsubj
illustrious	positive	strongsubj
imaginary	negative	strongsubj
imagination	neutral	strongsubj
imaginative	positive	strongsubj
imagine	neutral	strongsubj
imbalance	negative	strongsubj
imbecile	negative	strongsubj
imbroglio	negative	strongsubj
immaculate	positive	strongsubj
immaculately	positive	strongsubj
immaterial	negative	strongsubj
immediately	neutral	strongsubj
immensely	neutral	strongsubj
immensity	neutral	strongsubj
immensurable	neutral	strongsubj
imminence	negative	strongsubj
imminent	negative	strongsubj
imminently	negative	strongsubj
immoderate	negative	strongsubj
immoderately	negative	strongsubj
immodest	negative	strongsubj
immoral	negative	strongsubj
immorality	negative	strongsubj
immorally	negative	strongsubj
immovable	negative	strongsubj
impair	negative	strongsubj
impaired	negative	strongsubj
impasse	negative	strongsubj
impassioned	positive	strongsubj
impatience	negative	strongsubj
impatient	negative	strongsubj
impatiently	negative	strongsubj
impeach	negative	strongsubj
impeccable	positive	strongsubj
impeccably	positive	strongsubj
impede	negative	strongsubj
impedance	negative	strongsubj
impediment	negative	strongsubj
impel	positive	strongsubj
impending	negative	strongsubj
impenitent	negative	strongsubj
imperative	neutral	strongsubj
imperatively	neutral	strongsubj
imperialist	negative	strongsubj
imperil	negative	strongsubj
imperious	negative	strongsubj
imperiously	negative	strongsubj
impertinent	negative	strongsubj
imperturbable	positive	strongsubj
impervious	positive	strongsubj
impetuous	negative	strongsubj
impetuously	negative	strongsubj
impiety	negative	strongsubj
impinge	negative	strongsubj
impious	negative	strongsubj
implacable	negative	strongsubj
implausible	negative	strongsubj
implausibly	negative	strongsubj
implode	negative	strongsubj
implore	both	strongsubj
imploring	both	strongsubj
imploringly	both	strongsubj
imply	neutral	strongsubj
impolite	negative	strongsubj
impolitely	negative	strongsubj
impolitic	negative	strongsubj
importunate	negative	strongsubj
importune	negative	strongsubj
impose	negative	strongsubj
imposers	negative	strongsubj
imposition	negative	strongsubj
impotent	negative	strongsubj
impractical	negative	strongsubj
imprecate	negative	strongsubj
impregnable	positive	strongsubj
impressive	positive	strongsubj
impressively	positive	strongsubj
impressiveness	positive	strongsubj
improbability	negative	strongsubj
improbable	negative	strongsubj
improbably	negative	strongsubj
improper	negative	strongsubj
improperly	negative	strongsubj
impropriety	negative	strongsubj
improvise	positive	strongsubj
imprudence	negative	strongsubj
imprudent	negative	strongsubj
impudence	negative	strongsubj
impudent	negative	strongsubj
impudently	negative	strongsubj
impugn	negative	strongsubj
impulsive	negative	strongsubj
impulsively	negative	strongsubj
impure	negative	strongsubj
impurity	negative	strongsubj
inaccurate	negative	strongsubj
inaccurately	negative	strongsubj
inane	negative	strongsubj
inanely	negative	strongsubj
inappropriate	negative	strongsubj
inappropriately	negative	strongsubj
inapt	negative	strongsubj
inaptitude	negative	strongsubj
inarguable	neutral	strongsubj
inarguably	neutral	strongsubj
inarticulate	negative	strongsubj
inattentive	negative	strongsubj
incapable	negative	strongsubj
incapably	negative	strongsubj
incautious	negative	strongsubj
incendiary	negative	strongsubj
incessant	negative	strongsubj
incessantly	negative	strongsubj
incisive	positive	strongsubj
incisively	positive	strongsubj
incisiveness	positive	strongsubj
incivility	negative	strongsubj
inclination	positive	strongsubj
inclinations	positive	strongsubj
inclined	positive	strongsubj
incognizant	negative	strongsubj
incoherence	negative	strongsubj
incoherent	negative	strongsubj
incoherently	negative	strongsubj
incommensurate	negative	strongsubj
incompetence	negative	strongsubj
incompetent	negative	strongsubj
incompetently	negative	strongsubj
incomprehensible	negative	strongsubj
incomprehension	negative	strongsubj
inconceivable	negative	strongsubj
inconceivably	negative	strongsubj
incongruous	negative	strongsubj
incongruously	negative	strongsubj
inconsequent	negative	strongsubj
inconsequently	negative	strongsubj
inconsequential	negative	strongsubj
inconsequentially	negative	strongsubj
inconsiderate	negative	strongsubj
inconsiderately	negative	strongsubj
inconsistence	negative	strongsubj
inconsistencies	negative	strongsubj
inconsolable	negative	strongsubj
inconsolably	negative	strongsubj
inconstant	negative	strongsubj
incontestable	positive	strongsubj
incontrovertible	positive	strongsubj
inconvenience	negative	strongsubj
inconvenient	negative	strongsubj
inconveniently	negative	strongsubj
incorrectly	negative	strongsubj
incorrigible	negative	strongsubj
incorrigibly	negative	strongsubj
incorruptible	positive	strongsubj
incredible	positive	strongsubj
incredibly	positive	strongsubj
incredulous	negative	strongsubj
incredulously	negative	strongsubj
inculcate	negative	strongsubj
indecency	negative	strongsubj
indecent	negative	strongsubj
indecently	negative	strongsubj
indecision	negative	strongsubj
indecisive	negative	strongsubj
indecisively	negative	strongsubj
indecorum	negative	strongsubj
indeed	neutral	strongsubj
indefatigable	positive	strongsubj
indefensible	negative	strongsubj
indelible	positive	strongsubj
indelibly	positive	strongsubj
indelicate	negative	strongsubj
indescribable	positive	strongsubj
indescribably	positive	strongsubj
indestructible	positive	strongsubj
indicative	neutral	strongsubj
indifference	negative	strongsubj
indifferent	negative	strongsubj
indignant	negative	strongsubj
indignantly	negative	strongsubj
indignation	negative	strongsubj
indignity	negative	strongsubj
indiscreet	negative	strongsubj
indiscreetly	negative	strongsubj
indiscretion	negative	strongsubj
indiscriminate	negative	strongsubj
indiscriminating	negative	strongsubj
indiscriminately	negative	strongsubj
indispensable	positive	strongsubj
indispensability	positive	strongsubj
indisposed	negative	strongsubj
indisputable	positive	strongsubj
indoctrinate	negative	strongsubj
indoctrination	negative	strongsubj
indolent	negative	strongsubj
indomitable	positive	strongsubj
indomitably	positive	strongsubj
indubitable	positive	strongsubj
indubitably	positive	strongsubj
indulge	negative	strongsubj
indulgence	positive	strongsubj
indulgent	positive	strongsubj
inefficacious	negative	strongsubj
inefficacy	negative	strongsubj
inelegance	negative	strongsubj
inelegant	negative	strongsubj
ineloquent	negative	strongsubj
ineloquently	negative	strongsubj
inept	negative	strongsubj
ineptitude	negative	strongsubj
ineptly	negative	strongsubj
inequality	negative	strongsubj
inequitable	negative	strongsubj
inequitably	negative	strongsubj
inequities	negative	strongsubj
inescapable	negative	strongsubj
inescapably	negative	strongsubj
inessential	negative	strongsubj
inestimable	positive	strongsubj
inestimably	positive	strongsubj
inevitable	negative	strongsubj
inevitably	negative	strongsubj
inexcusable	negative	strongsubj
inexcusably	negative	strongsubj
inexorable	negative	strongsubj
inexorably	negative	strongsubj
inexpiable	negative	strongsubj
inexplainable	negative	strongsubj
inexplicable	negative	strongsubj
inextricable	negative	strongsubj
inextricably	negative	strongsubj
infallible	positive	strongsubj
infallibly	positive	strongsubj
infallibility	positive	strongsubj
infamous	negative	strongsubj
infamously	negative	strongsubj
infamy	negative	strongsubj
infatuated	both	strongsubj
infer	neutral	strongsubj
inferior	negative	strongsubj
inferiority	negative	strongsubj
infernal	negative	strongsubj
infidel	negative	strongsubj
infidels	negative	strongsubj
infirm	negative	strongsubj
inflame	negative	strongsubj
inflammatory	negative	strongsubj
inflexible	negative	strongsubj
inflict	negative	strongsubj
infringe	negative	strongsubj
infringement	negative	strongsubj
infringements	negative	strongsubj
infuriate	negative	strongsubj
infuriated	negative	strongsubj
infuriating	negative	strongsubj
infuriatingly	negative	strongsubj
ingenious	positive	strongsubj
ingeniously	positive	strongsubj
ingenuity	positive	strongsubj
ingenuous	positive	strongsubj
ingenuously	positive	strongsubj
inglorious	negative	strongsubj
ingrate	negative	strongsubj
ingratiate	positive	strongsubj
ingratiating	positive	strongsubj
ingratiatingly	positive	strongsubj
ingratitude	negative	strongsubj
inherent	neutral	strongsubj
inhospitable	negative	strongsubj
inhospitality	negative	strongsubj
inhuman	negative	strongsubj
inhumane	negative	strongsubj
inhumanity	negative	strongsubj
inimical	negative	strongsubj
inimically	negative	strongsubj
iniquitous	negative	strongsubj
iniquity	negative	strongsubj
injudicious	negative	strongsubj
injustice	negative	strongsubj
injustices	negative	strongsubj
inkling	neutral	strongsubj
inklings	neutral	strongsubj
innocuous	positive	strongsubj
innuendo	negative	strongsubj
inoffensive	positive	strongsubj
inopportune	negative	strongsubj
inordinate	negative	strongsubj
inordinately	negative	strongsubj
inquisitive	positive	strongsubj
insane	negative	strongsubj
insanely	negative	strongsubj
insanity	negative	strongsubj
insatiable	negative	strongsubj
insecurity	negative	strongsubj
insensitive	negative	strongsubj
insensitively	negative	strongsubj
insensitivity	negative	strongsubj
insidious	negative	strongsubj
insidiously	negative	strongsubj
insight	positive	strongsubj
insightful	positive	strongsubj
insightfully	positive	strongsubj
insights	neutral	strongsubj
insincere	negative	strongsubj
insincerely	negative	strongsubj
insincerity	negative	strongsubj
insinuate	negative	strongsubj
insinuating	negative	strongsubj
insinuation	negative	strongsubj
insist	positive	strongsubj
insistent	positive	strongsubj
insistently	positive	strongsubj
insociable	negative	strongsubj
insolence	negative	strongsubj
insolent	negative	strongsubj
insolently	negative	strongsubj
insouciance	negative	strongsubj
inspiration	positive	strongsubj
inspirational	positive	strongsubj
inspire	positive	strongsubj
inspiring	positive	strongsubj
instigate	negative	strongsubj
instigator	negative	strongsubj
instigators	negative	strongsubj
insubstantial	negative	strongsubj
insubstantially	negative	strongsubj
insufferable	negative	strongsubj
insufferably	negative	strongsubj
insult	negative	strongsubj
insulted	negative	strongsubj
insulting	negative	strongsubj
insultingly	negative	strongsubj
insupportable	negative	strongsubj
insupportably	negative	strongsubj
integrity	positive	strongsubj
intelligent	positive	strongsubj
intelligible	positive	strongsubj
interesting	positive	strongsubj
intimacy	positive	strongsubj
intimate	neutral	strongsubj
intimidating	negative	strongsubj
intimidatingly	negative	strongsubj
intolerable	negative	strongsubj
intolerablely	negative	strongsubj
intolerance	negative	strongsubj
intolerant	negative	strongsubj
intransigence	negative	strongsubj
intransigent	negative	strongsubj
intrigue	positive	strongsubj
intriguing	positive	strongsubj
intriguingly	positive	strongsubj
intrude	negative	strongsubj
intrusive	negative	strongsubj
intuitive	positive	strongsubj
inundate	negative	strongsubj
inundated	negative	strongsubj
invalid	negative	strongsubj
invalidate	negative	strongsubj
invalidity	negative	strongsubj
invaluable	positive	strongsubj
invaluablely	positive	strongsubj
invective	negative	strongsubj
inveigle	negative	strongsubj
invidious	negative	strongsubj
invidiously	negative	strongsubj
invidiousness	negative	strongsubj
invigorating	positive	strongsubj
invincibility	positive	strongsubj
invincible	positive	strongsubj
inviolable	positive	strongsubj
inviolate	positive	strongsubj
invulnerable	positive	strongsubj
irate	negative	strongsubj
irately	negative	strongsubj
ire	negative	strongsubj
irk	negative	strongsubj
irksome	negative	strongsubj
ironic	negative	strongsubj
ironies	negative	strongsubj
irony	negative	strongsubj
irrational	negative	strongsubj
irrationality	negative	strongsubj
irrationally	negative	strongsubj
irreconcilable	negative	strongsubj
irredeemable	negative	strongsubj
irredeemably	negative	strongsubj
irreformable	negative	strongsubj
irrefutable	positive	strongsubj
irrefutably	positive	strongsubj
irregardless	neutral	strongsubj
irrelevance	negative	strongsubj
irrelevant	negative	strongsubj
irreparable	negative	strongsubj
irreplacible	negative	strongsubj
irrepressible	negative	strongsubj
irreproachable	positive	strongsubj
irresistible	positive	strongsubj
irresistibly	positive	strongsubj
irresolute	negative	strongsubj
irresponsible	negative	strongsubj
irresponsibly	negative	strongsubj
irreverence	negative	strongsubj
irreverent	negative	strongsubj
irreverently	negative	strongsubj
irreversible	negative	strongsubj
irritable	negative	strongsubj
irritably	negative	strongsubj
irritate	negative	strongsubj
irritated	negative	strongsubj
irritating	negative	strongsubj
irritation	negative	strongsubj
itch	negative	strongsubj
jabber	negative	strongsubj
jaded	negative	strongsubj
jaundiced	negative	strongsubj
jauntily	positive	strongsubj
jaunty	positive	strongsubj
jealous	negative	strongsubj
jealously	negative	strongsubj
jealousness	negative	strongsubj
jealousy	negative	strongsubj
jeer	negative	strongsubj
jeering	negative	strongsubj
jeeringly	negative	strongsubj
jeers	negative	strongsubj
jeopardize	negative	strongsubj
jeopardy	negative	strongsubj
jerk	negative	strongsubj
jest	positive	strongsubj
jittery	negative	strongsubj
joke	positive	strongsubj
joker	negative	strongsubj
jolly	positive	strongsubj
jovial	positive	strongsubj
joy	positive	strongsubj
joyful	positive	strongsubj
joyfully	positive	strongsubj
joyless	positive	strongsubj
joyous	positive	strongsubj
joyously	positive	strongsubj
jubilant	positive	strongsubj
jubilantly	positive	strongsubj
jubilate	positive	strongsubj
jubilation	positive	strongsubj
judicious	positive	strongsubj
just	positive	strongsubj
justifiable	positive	strongsubj
justifiably	positive	strongsubj
justification	positive	strongsubj
justify	positive	strongsubj
justly	positive	strongsubj
kaput	negative	strongsubj
keen	positive	strongsubj
keen	negative	strongsubj
keenly	positive	strongsubj
keenness	positive	strongsubj
kemp	positive	strongsubj
kick	negative	strongsubj
kid	positive	strongsubj
killjoy	negative	strongsubj
kind	positive	strongsubj
kindly	positive	strongsubj
kindliness	positive	strongsubj
kindness	positive	strongsubj
kingmaker	positive	strongsubj
knave	negative	strongsubj
knew	neutral	strongsubj
know	neutral	strongsubj
knowing	neutral	strongsubj
knowingly	neutral	strongsubj
knowledge	neutral	strongsubj
knowledgeable	positive	strongsubj
kook	negative	strongsubj
kooky	negative	strongsubj
lack	negative	strongsubj
lackadaisical	negative	strongsubj
lackey	negative	strongsubj
lackeys	negative	strongsubj
lacking	negative	strongsubj
lackluster	negative	strongsubj
laconic	negative	strongsubj
lambast	negative	strongsubj
lambaste	negative	strongsubj
lame-duck	negative	strongsubj
lament	negative	strongsubj
lamentable	negative	strongsubj
lamentably	negative	strongsubj
languid	negative	strongsubj
languish	negative	strongsubj
languor	negative	strongsubj
languorous	negative	strongsubj
languorously	negative	strongsubj
lark	positive	strongsubj
lascivious	negative	strongsubj
last-ditch	negative	strongsubj
lastly	neutral	strongsubj
laud	positive	strongsubj
laudable	positive	strongsubj
laudably	positive	strongsubj
laugh	negative	strongsubj
laughable	negative	strongsubj
laughably	negative	strongsubj
laughingstock	negative	strongsubj
laughter	negative	strongsubj
lavish	positive	strongsubj
lavishly	positive	strongsubj
law-abiding	positive	strongsubj
lawbreaker	negative	strongsubj
lawbreaking	negative	strongsubj
lawless	negative	strongsubj
lawlessness	negative	strongsubj
lax	negative	strongsubj
lazy	negative	strongsubj
lech	negative	strongsubj
lecher	negative	strongsubj
lecherous	negative	strongsubj
lechery	negative	strongsubj
leech	negative	strongsubj
leer	negative	strongsubj
leery	negative	strongsubj
left-leaning	negative	strongsubj
letch	negative	strongsubj
levity	positive	strongsubj
lewd	negative	strongsubj
lewdly	negative	strongsubj
lewdness	negative	strongsubj
liability	negative	strongsubj
liar	negative	strongsubj
liars	negative	strongsubj
liberate	positive	strongsubj
liberty	positive	strongsubj
licentious	negative	strongsubj
licentiously	negative	strongsubj
licentiousness	negative	strongsubj
lie	negative	strongsubj
lier	negative	strongsubj
lies	negative	strongsubj
lifeblood	positive	strongsubj
light-hearted	positive	strongsubj
likable	positive	strongsubj
like	positive	strongsubj
liking	positive	strongsubj
likewise	neutral	strongsubj
limitless	neutral	strongsubj
limp	negative	strongsubj
lionhearted	positive	strongsubj
listless	negative	strongsubj
litigious	negative	strongsubj
little	negative	strongsubj
little-known	negative	strongsubj
lively	positive	strongsubj
livid	negative	strongsubj
lividly	negative	strongsubj
loath	negative	strongsubj
loathe	negative	strongsubj
loathing	negative	strongsubj
loathly	negative	strongsubj
loathsome	negative	strongsubj
loathsomely	negative	strongsubj
lofty	positive	strongsubj
lone	negative	strongsubj
loneliness	negative	strongsubj
lonely	negative	strongsubj
lonesome	negative	strongsubj
long	negative	strongsubj
longing	negative	strongsubj
longingly	negative	strongsubj
loophole	negative	strongsubj
loopholes	negative	strongsubj
loot	negative	strongsubj
lorn	negative	strongsubj
losing	negative	strongsubj
lousy	negative	strongsubj
lovable	positive	strongsubj
lovably	positive	strongsubj
love	positive	strongsubj
loveless	negative	strongsubj
loveliness	positive	strongsubj
lovelorn	negative	strongsubj
lover	positive	strongsubj
lovely	positive	strongsubj
low-rated	negative	strongsubj
lowly	negative	strongsubj
loyalty	positive	strongsubj
lucid	positive	strongsubj
lucidly	positive	strongsubj
luck	positive	strongsubj
luckier	positive	strongsubj
luckiest	positive	strongsubj
luckily	positive	strongsubj
luckiness	positive	strongsubj
lucky	positive	strongsubj
ludicrous	negative	strongsubj
ludicrously	negative	strongsubj
lugubrious	negative	strongsubj
lukewarm	negative	strongsubj
lunatic	negative	strongsubj
lunaticism	negative	strongsubj
lurch	negative	strongsubj
lure	negative	strongsubj
lurid	negative	strongsubj
lurk	negative	strongsubj
lurking	negative	strongsubj
lush	positive	strongsubj
lust	both	strongsubj
luster	positive	strongsubj
lustrous	positive	strongsubj
luxuriant	positive	strongsubj
luxurious	positive	strongsubj
luxuriously	positive	strongsubj
luxury	positive	strongsubj
lying	negative	strongsubj
lyrical	positive	strongsubj
macabre	negative	strongsubj
mad	negative	strongsubj
madden	negative	strongsubj
maddening	negative	strongsubj
maddeningly	negative	strongsubj
madder	negative	strongsubj
madly	negative	strongsubj
madman	negative	strongsubj
madness	negative	strongsubj
magic	positive	strongsubj
magical	positive	strongsubj
magnanimous	positive	strongsubj
magnanimously	positive	strongsubj
magnificence	positive	strongsubj
magnificent	positive	strongsubj
magnificently	positive	strongsubj
majestic	positive	strongsubj
majesty	positive	strongsubj
maladjusted	negative	strongsubj
maladjustment	negative	strongsubj
malcontent	negative	strongsubj
malcontented	negative	strongsubj
maledict	negative	strongsubj
malevolence	negative	strongsubj
malevolent	negative	strongsubj
malevolently	negative	strongsubj
malice	negative	strongsubj
malicious	negative	strongsubj
maliciously	negative	strongsubj
maliciousness	negative	strongsubj
malign	negative	strongsubj
malodorous	negative	strongsubj
maltreatment	negative	strongsubj
mangle	negative	strongsubj
mania	negative	strongsubj
maniac	negative	strongsubj
maniacal	negative	strongsubj
manic	negative	strongsubj
manifest	positive	strongsubj
manipulative	negative	strongsubj
manipulators	negative	strongsubj
manly	positive	strongsubj
mannerly	positive	strongsubj
mantra	neutral	strongsubj
mar	negative	strongsubj
martyrdom	negative	strongsubj
martyrdom-seeking	negative	strongsubj
marvel	positive	strongsubj
marvellous	positive	strongsubj
marvelous	positive	strongsubj
marvelously	positive	strongsubj
marvelousness	positive	strongsubj
marvels	positive	strongsubj
massacre	negative	strongsubj
massacres	negative	strongsubj
master	positive	strongsubj
masterful	positive	strongsubj
masterfully	positive	strongsubj
masterpiece	positive	strongsubj
masterpieces	positive	strongsubj
masters	positive	strongsubj
mastery	positive	strongsubj
matchless	positive	strongsubj
maverick	negative	strongsubj
mawkish	negative	strongsubj
mawkishly	negative	strongsubj
mawkishness	negative	strongsubj
maxi-devaluation	negative	strongsubj
maximize	positive	strongsubj
maybe	neutral	strongsubj
meager	negative	strongsubj
mean	negative	strongsubj
meaningful	positive	strongsubj
meaningless	negative	strongsubj
meanness	negative	strongsubj
meddle	negative	strongsubj
meddlesome	negative	strongsubj
mediocre	negative	strongsubj
mediocrity	negative	strongsubj
meek	positive	strongsubj
melancholy	negative	strongsubj
mellow	positive	strongsubj
melodramatic	negative	strongsubj
melodramatically	negative	strongsubj
memorable	positive	strongsubj
memorialize	positive	strongsubj
menace	negative	strongsubj
menacing	negative	strongsubj
menacingly	negative	strongsubj
mendacious	negative	strongsubj
mendacity	negative	strongsubj
mentality	neutral	strongsubj
merciful	positive	strongsubj
mercifully	positive	strongsubj
merciless	negative	strongsubj
mercilessly	negative	strongsubj
mercy	positive	strongsubj
mere	negative	strongsubj
merely	negative	strongsubj
merit	positive	strongsubj
meritorious	positive	strongsubj
merrily	positive	strongsubj
merriment	positive	strongsubj
merriness	positive	strongsubj
merry	positive	strongsubj
mesmerize	positive	strongsubj
mesmerizing	positive	strongsubj
mesmerizingly	positive	strongsubj
mess	negative	strongsubj
metaphorize	neutral	strongsubj
midget	negative	strongsubj
might	positive	strongsubj
mightily	positive	strongsubj
mighty	positive	strongsubj
militancy	negative	strongsubj
mindful	positive	strongsubj
mindless	negative	strongsubj
mindlessly	negative	strongsubj
miracle	positive	strongsubj
miracles	positive	strongsubj
miraculous	positive	strongsubj
miraculously	positive	strongsubj
miraculousness	positive	strongsubj
mirage	negative	strongsubj
mire	negative	strongsubj
mirth	positive	strongsubj
misbecoming	negative	strongsubj
misbecome	negative	strongsubj
misbegotten	negative	strongsubj
misbehave	negative	strongsubj
misbehavior	negative	strongsubj
mischief	negative	strongsubj
mischievous	negative	strongsubj
mischievously	negative	strongsubj
misconception	negative	strongsubj
misconceptions	negative	strongsubj
miscreant	negative	strongsubj
miscreants	negative	strongsubj
misdirection	negative	strongsubj
miser	negative	strongsubj
miserly	negative	strongsubj
miserable	negative	strongsubj
miserableness	negative	strongsubj
miserably	negative	strongsubj
miseries	negative	strongsubj
misery	negative	strongsubj
misfit	negative	strongsubj
misfortune	negative	strongsubj
misgiving	negative	strongsubj
misgivings	negative	strongsubj
misguidance	negative	strongsubj
misguide	negative	strongsubj
misguided	negative	strongsubj
mishandle	negative	strongsubj
mishap	negative	strongsubj
misinform	negative	strongsubj
misinformed	negative	strongsubj
misinterpret	negative	strongsubj
misjudge	negative	strongsubj
misjudgment	negative	strongsubj
mislead	negative	strongsubj
misleading	negative	strongsubj
misleadingly	negative	strongsubj
mislike	negative	strongsubj
mismanage	negative	strongsubj
misread	negative	strongsubj
misreading	negative	strongsubj
misrepresent	negative	strongsubj
misrepresentation	negative	strongsubj
misstatement	negative	strongsubj
mistake	negative	strongsubj
mistaken	negative	strongsubj
mistakenly	negative	strongsubj
mistakes	negative	strongsubj
mistrust	negative	strongsubj
mistrustful	negative	strongsubj
mistrustfully	negative	strongsubj
misunderstand	negative	strongsubj
misunderstood	negative	strongsubj
misunderstanding	negative	strongsubj
misunderstandings	negative	strongsubj
misuse	negative	strongsubj
mm	neutral	strongsubj
moan	negative	strongsubj
mock	negative	strongsubj
mockeries	negative	strongsubj
mockery	negative	strongsubj
mocking	negative	strongsubj
mockingly	negative	strongsubj
moderate	positive	strongsubj
moderation	positive	strongsubj
molest	negative	strongsubj
molestation	negative	strongsubj
mollify	positive	strongsubj
momentous	positive	strongsubj
monotonous	negative	strongsubj
monotony	negative	strongsubj
monster	negative	strongsubj
monstrosities	negative	strongsubj
monstrosity	negative	strongsubj
monstrous	negative	strongsubj
monstrously	negative	strongsubj
monumental	positive	strongsubj
monumentally	positive	strongsubj
moody	negative	strongsubj
moral	positive	strongsubj
morality	positive	strongsubj
moralize	positive	strongsubj
morbid	negative	strongsubj
morbidly	negative	strongsubj
mordant	negative	strongsubj
mordantly	negative	strongsubj
moreover	neutral	strongsubj
moribund	negative	strongsubj
mortification	negative	strongsubj
mortified	negative	strongsubj
mortify	negative	strongsubj
mortifying	negative	strongsubj
motivate	positive	strongsubj
motivated	positive	strongsubj
motivation	positive	strongsubj
motley	negative	strongsubj
mourn	negative	strongsubj
mourner	negative	strongsubj
mournful	negative	strongsubj
mournfully	negative	strongsubj
moving	positive	strongsubj
mudslinger	negative	strongsubj
mudslinging	negative	strongsubj
mulish	negative	strongsubj
multi-polarization	negative	strongsubj
mum	neutral	strongsubj
mundane	negative	strongsubj
muscle-flexing	negative	strongsubj
must	neutral	strongsubj
mysterious	negative	strongsubj
mysteriously	negative	strongsubj
mystery	negative	strongsubj
myth	negative	strongsubj
nag	negative	strongsubj
nagging	negative	strongsubj
naive	negative	strongsubj
naively	negative	strongsubj
narrower	negative	strongsubj
nastily	negative	strongsubj
nastiness	negative	strongsubj
nasty	negative	strongsubj
nationalism	negative	strongsubj
naughty	negative	strongsubj
nauseating	negative	strongsubj
nauseatingly	negative	strongsubj
nebulous	negative	strongsubj
nebulously	negative	strongsubj
need	neutral	strongsubj
needful	neutral	strongsubj
needfully	neutral	strongsubj
nefarious	negative	strongsubj
nefariously	negative	strongsubj
neglect	negative	strongsubj
neglected	negative	strongsubj
negligent	negative	strongsubj
negligence	negative	strongsubj
nemesis	negative	strongsubj
nettlesome	negative	strongsubj
nevertheless	neutral	strongsubj
nervous	negative	strongsubj
nervously	negative	strongsubj
nervousness	negative	strongsubj
neurotic	negative	strongsubj
neurotically	negative	strongsubj
nice	positive	strongsubj
nicely	positive	strongsubj
nifty	positive	strongsubj
nightmare	negative	strongsubj
nightmarish	negative	strongsubj
nightmarishly	negative	strongsubj
nimble	positive	strongsubj
nix	negative	strongsubj
noble	positive	strongsubj
nobly	positive	strongsubj
non-confidence	negative	strongsubj
nonsense	negative	strongsubj
nosey	negative	strongsubj
notable	positive	strongsubj
notably	positive	strongsubj
noteworthy	positive	strongsubj
notorious	negative	strongsubj
