term	valence	score	POS
brouhaha	positive	0.5	n
circus	negative	-0.5	n
carnival	negative	-0.5	n
disorganization	negative	-0.625	n
disorganisation	negative	-0.625	n
perturbation	negative	-0.375	n
disruption	negative	-0.375	n
surprise	negative	-0.125	n
surprisal	negative	-0.125	n
furore	negative	-0.125	n
furor	negative	-0.125	n
mayhem	negative	-0.5	n
havoc	negative	-0.5	n
scrimmage	negative	-0.375	n
melee	negative	-0.375	n
battle royal	negative	-0.375	n
tumultuous disturbance	negative	-0.375	n
outburst	negative	-0.375	n
violent disorder	positive	0.25	n
violent disorder	negative	-0.5	n
rampage	positive	0.25	n
rampage	negative	-0.5	n
wilding	positive	0.125	n
upset	negative	-0.25	n
overthrow	negative	-0.25	n
derangement	negative	-0.25	n
play	positive	0.125	n
play	negative	-0.125	n
manoeuvre	positive	0.125	n
manoeuvre	negative	-0.125	n
maneuver	positive	0.125	n
maneuver	negative	-0.125	n
assist	positive	0.125	n
jugglery	positive	0.125	n
footwork	positive	0.25	n
drive	negative	-0.125	n
backhand drive	negative	-0.125	n
ace	negative	-0.5	n
chip shot	negative	-0.25	n
chip	negative	-0.25	n
sclaff	negative	-0.5	n
shank	negative	-0.5	n
flutter kick	negative	-0.125	n
thrash	negative	-0.125	n
walkover	positive	0.125	n
snap	positive	0.125	n
pushover	positive	0.125	n
piece of cake	positive	0.125	n
picnic	positive	0.125	n
duck soup	positive	0.125	n
cinch	positive	0.125	n
child's play	positive	0.125	n
breeze	positive	0.125	n
doddle	positive	0.125	n
doddle	negative	-0.125	n
action	positive	0.125	n
job	negative	-0.25	n
works	positive	0.375	n
deeds	positive	0.375	n
financial audit	positive	0.125	n
socage	negative	-0.125	n
heavy lifting	negative	-0.5	n
make-work	positive	0.125	n
make-work	negative	-0.125	n
busywork	positive	0.125	n
busywork	negative	-0.125	n
specialization	positive	0.125	n
specialisation	positive	0.125	n
job	positive	0.125	n
fatherhood	positive	0.125	n
hot seat	negative	-0.5	n
marshalship	positive	0.125	n
messiahship	negative	-0.125	n
bully pulpit	positive	0.375	n
sainthood	positive	0.5	n
seigniory	negative	-0.125	n
seigneury	negative	-0.125	n
feudal lordship	negative	-0.125	n
thaneship	negative	-0.25	n
trade	positive	0.125	n
craft	positive	0.125	n
bricklaying	positive	0.25	n
bricklaying	negative	-0.125	n
cabinetwork	positive	0.5	n
cabinetry	positive	0.5	n
masonry	positive	0.25	n
oculism	positive	0.25	n
profession	positive	0.125	n
metier	positive	0.25	n
medium	positive	0.25	n
learned profession	positive	0.125	n
practice of law	positive	0.125	n
law	positive	0.125	n
politics	positive	0.125	n
preventive medicine	positive	0.375	n
alternative medicine	positive	0.25	n
alternative medicine	negative	-0.25	n
herbal medicine	positive	0.5	n
decryption	positive	0.125	n
decoding	positive	0.125	n
decipherment	positive	0.125	n
shingling	negative	-0.5	n
couture	positive	0.25	n
toil	positive	0.125	n
labour	positive	0.125	n
labor	positive	0.125	n
struggle	negative	-0.5	n
haymaking	positive	0.5	n
substituting	negative	-0.5	n
subbing	negative	-0.5	n
trouble	negative	-0.5	n
difficulty	negative	-0.5	n
the devil	negative	-0.625	n
tsuris	negative	-0.625	n
least resistance	negative	-0.5	n
least effort	negative	-0.5	n
straining	negative	-0.5	n
strain	negative	-0.5	n
pull	negative	-0.375	n
weightlifting	negative	-0.125	n
weightlift	negative	-0.125	n
incline bench press	positive	0.375	n
press	positive	0.125	n
military press	positive	0.125	n
stretching	positive	0.25	n
stretch	positive	0.25	n
hatha yoga	negative	-0.125	n
diligence	positive	0.5	n
diligence	negative	-0.25	n
application	positive	0.5	n
application	negative	-0.25	n
overkill	negative	-0.25	n
supererogation	negative	-0.25	n
overexertion	negative	-0.875	n
investigation	positive	0.125	n
investigating	positive	0.125	n
inquest	negative	-0.125	n
marketing research	positive	0.5	n
market research	positive	0.5	n
keratoscopy	positive	0.125	n
survey	positive	0.125	n
survey	negative	-0.125	n
study	positive	0.125	n
study	negative	-0.125	n
testing	positive	0.125	n
anatomy	positive	0.125	n
volumetric analysis	positive	0.5	n
spectrum analysis	positive	0.375	n
spectroscopy	positive	0.375	n
spectroscopic analysis	positive	0.375	n
spectrometry	positive	0.375	n
spectrographic analysis	positive	0.375	n
collation	positive	0.125	n
contrast	negative	-0.125	n
miscount	negative	-0.125	n
first aid	positive	0.125	n
adrenergic agonist eyedrop	positive	0.25	n
miotic eyedrop	positive	0.375	n
medical care	positive	0.125	n
medical care	negative	-0.375	n
medical aid	positive	0.125	n
medical aid	negative	-0.375	n
treatment	negative	-0.5	n
intervention	negative	-0.5	n
hospitalization	positive	0.125	n
hospitalization	negative	-0.125	n
hospitalisation	positive	0.125	n
hospitalisation	negative	-0.125	n
hospital care	positive	0.125	n
hospital care	negative	-0.125	n
incubation	positive	0.375	n
effleurage	negative	-0.125	n
chemotherapy	positive	0.125	n
chemotherapy	negative	-0.25	n
correction	positive	0.25	n
correction	negative	-0.125	n
galvanism	positive	0.125	n
electrotherapy	positive	0.125	n
electrical healing	positive	0.125	n
electric healing	positive	0.125	n
insolation	positive	0.25	n
insolation	negative	-0.25	n
heliotherapy	positive	0.25	n
heliotherapy	negative	-0.25	n
hrt	positive	0.125	n
hormone replacement therapy	positive	0.125	n
hormone-replacement therapy	positive	0.125	n
antipyresis	negative	-0.25	n
megavitamin therapy	negative	-0.125	n
occupational therapy	negative	-0.75	n
nursing care	positive	0.25	n
nursing	negative	-0.375	n
tlc	positive	0.5	n
tender loving care	positive	0.5	n
nurturance	positive	0.375	n
personal care	negative	-0.5	n
angioplasty	negative	-0.125	n
chemosurgery	negative	-0.25	n
cholecystectomy	negative	-0.625	n
enucleation	positive	0.375	n
hemorrhoidectomy	positive	0.125	n
haemorrhoidectomy	positive	0.125	n
extracapsular surgery	negative	-0.125	n
cyclodestructive surgery	negative	-0.625	n
radial keratotomy	positive	0.375	n
laser-assisted subepithelial keratomileusis	negative	-0.25	n
lasek	negative	-0.25	n
lasik	negative	-0.25	n
laser-assisted in situ keratomileusis	negative	-0.25	n
keratoplasty	positive	0.375	n
keratoplasty	negative	-0.375	n
corneal transplant	positive	0.375	n
corneal transplant	negative	-0.375	n
corneal graft	positive	0.375	n
corneal graft	negative	-0.375	n
laminectomy	positive	0.25	n
callosotomy	negative	-0.25	n
callosectomy	negative	-0.25	n
prefrontal lobotomy	positive	0.25	n
prefrontal leukotomy	positive	0.25	n
prefrontal leucotomy	positive	0.25	n
lobotomy	positive	0.25	n
leukotomy	positive	0.25	n
leucotomy	positive	0.25	n
frontal lobotomy	positive	0.25	n
lumpectomy	negative	-0.5	n
minor surgery	negative	-0.625	n
pneumonectomy	negative	-0.375	n
phalloplasty	negative	-0.5	n
reconstructive surgery	positive	0.125	n
plastic surgery	positive	0.125	n
anaplasty	positive	0.125	n
rhizotomy	negative	-0.125	n
neutering	negative	-0.125	n
fixing	negative	-0.125	n
altering	negative	-0.125	n
uranoplasty	positive	0.375	n
uranoplasty	negative	-0.125	n
hospice	negative	-0.375	n
venesection	negative	-0.25	n
phlebotomy	negative	-0.25	n
detoxification	negative	-0.25	n
physiotherapy	positive	0.125	n
physiotherapy	negative	-0.375	n
physical therapy	positive	0.125	n
physical therapy	negative	-0.375	n
physiatrics	positive	0.125	n
physiatrics	negative	-0.375	n
rehabilitation	negative	-0.375	n
phytotherapy	negative	-0.125	n
herbal therapy	negative	-0.125	n
botanical medicine	negative	-0.125	n
psychotherapy	negative	-0.25	n
behavior therapy	positive	0.5	n
behavior modification	positive	0.5	n
assertiveness training	positive	0.125	n
assertiveness training	negative	-0.125	n
aversion therapy	positive	0.25	n
aversion therapy	negative	-0.125	n
systematic desensitization	positive	0.125	n
systematic desensitisation	positive	0.125	n
desensitization technique	positive	0.125	n
desensitization procedure	positive	0.125	n
desensitisation technique	positive	0.125	n
desensitisation procedure	positive	0.125	n
implosion therapy	positive	0.375	n
flooding	positive	0.375	n
reciprocal inhibition	positive	0.375	n
reciprocal inhibition	negative	-0.125	n
reciprocal-inhibition therapy	positive	0.375	n
reciprocal-inhibition therapy	negative	-0.125	n
family therapy	positive	0.125	n
hypnotherapy	negative	-0.125	n
phototherapy	positive	0.125	n
chrysotherapy	negative	-0.125	n
shock treatment	negative	-0.25	n
shock therapy	negative	-0.25	n
insulin shock treatment	negative	-0.25	n
insulin shock therapy	negative	-0.25	n
insulin shock	negative	-0.25	n
metrazol shock treatment	negative	-0.25	n
metrazol shock therapy	negative	-0.25	n
metrazol shock	negative	-0.25	n
speech therapy	positive	0.375	n
speech therapy	negative	-0.25	n
refrigeration	positive	0.125	n
fomentation	negative	-0.125	n
naprapathy	positive	0.375	n
osteopathy	positive	0.5	n
disinfection	negative	-0.75	n
digitalization	negative	-0.125	n
digitalisation	negative	-0.125	n
stylostixis	positive	0.125	n
stylostixis	negative	-0.25	n
acupuncture	positive	0.125	n
acupuncture	negative	-0.25	n
allopathy	positive	0.25	n
allopathy	negative	-0.25	n
loading	negative	-0.125	n
unloading	negative	-0.25	n
handicraft	positive	0.375	n
blind stitching	positive	0.25	n
blind stitching	negative	-0.5	n
gender role	negative	-0.125	n
steal	negative	-0.625	n
classroom project	negative	-0.25	n
fool's errand	negative	-0.125	n
mission impossible	negative	-0.875	n
shitwork	negative	-1	n
scut work	negative	-1	n
violation	negative	-0.5	n
usurpation	negative	-0.5	n
trespass	negative	-0.5	n
intrusion	negative	-0.5	n
encroachment	negative	-0.5	n
alienation of affection	negative	-0.5	n
invasion of privacy	negative	-0.125	n
continuing trespass	negative	-0.625	n
misdeed	negative	-0.625	n
misbehaviour	negative	-0.625	n
misbehavior	negative	-0.625	n
juvenile delinquency	negative	-0.25	n
delinquency	negative	-0.25	n
shenanigan	negative	-0.875	n
roguishness	negative	-0.875	n
roguery	negative	-0.875	n
rascality	negative	-0.875	n
mischievousness	negative	-0.875	n
mischief-making	negative	-0.875	n
mischief	negative	-0.875	n
deviltry	negative	-0.875	n
devilry	negative	-0.875	n
devilment	negative	-0.875	n
hell	negative	-0.75	n
blaze	negative	-0.75	n
monkey business	positive	0.375	n
monkey business	negative	-0.25	n
ruffianism	positive	0.375	n
ruffianism	negative	-0.375	n
irregularity	positive	0.5	n
abnormality	positive	0.5	n
deviation	positive	0.375	n
deviance	positive	0.375	n
indecency	negative	-0.375	n
impropriety	negative	-0.375	n
paraphilia	positive	0.125	n
paraphilia	negative	-0.25	n
immodesty	negative	-0.125	n
exhibitionism	negative	-0.125	n
pedophilia	positive	0.125	n
pedophilia	negative	-0.125	n
paedophilia	positive	0.125	n
paedophilia	negative	-0.125	n
zoophilism	positive	0.125	n
zoophilism	negative	-0.125	n
zoophilia	positive	0.125	n
zoophilia	negative	-0.125	n
obscenity	negative	-0.25	n
peccadillo	positive	0.125	n
peccadillo	negative	-0.5	n
indiscretion	positive	0.125	n
indiscretion	negative	-0.5	n
infantilism	positive	0.25	n
dereliction	positive	0.125	n
concurrent negligence	positive	0.125	n
contributory negligence	negative	-0.125	n
culpable negligence	negative	-0.75	n
criminal negligence	negative	-0.75	n
evasion	negative	-0.125	n
escape	negative	-0.125	n
dodging	negative	-0.125	n
escape mechanism	positive	0.25	n
escape mechanism	negative	-0.125	n
malpractice	negative	-0.5	n
waste of energy	negative	-0.625	n
waste of effort	negative	-0.625	n
prodigality	positive	0.125	n
prodigality	negative	-0.375	n
lavishness	positive	0.125	n
lavishness	negative	-0.375	n
highlife	positive	0.125	n
highlife	negative	-0.375	n
high life	positive	0.125	n
high life	negative	-0.375	n
extravagance	positive	0.125	n
extravagance	negative	-0.375	n
squandering	positive	0.25	n
squandering	negative	-0.25	n
wrong	negative	-0.75	n
legal injury	negative	-0.75	n
damage	negative	-0.75	n
infliction	negative	-0.5	n
abomination	positive	0.125	n
abomination	negative	-0.125	n
wickedness	positive	0.75	n
iniquity	positive	0.75	n
immorality	positive	0.75	n
evil	positive	0.75	n
villainy	negative	-0.25	n
deviltry	positive	0.444	n
deviltry	negative	-0.556	n
devilry	positive	0.444	n
devilry	negative	-0.556	n
enormity	positive	0.125	n
foul play	positive	0.375	n
foul play	negative	-0.25	n
violation	positive	0.125	n
irreverence	positive	0.125	n
sexual immorality	positive	0.5	n
sacrilege	positive	0.125	n
profanation	positive	0.125	n
desecration	positive	0.125	n
blasphemy	positive	0.125	n
turpitude	positive	0.25	n
turpitude	negative	-0.125	n
depravity	positive	0.25	n
depravity	negative	-0.125	n
self-indulgence	positive	0.5	n
intemperateness	positive	0.5	n
intemperance	positive	0.5	n
whoredom	positive	0.125	n
prostitution	positive	0.125	n
harlotry	positive	0.125	n
profligacy	positive	0.5	n
profligacy	negative	-0.25	n
looseness	positive	0.5	n
looseness	negative	-0.25	n
licentiousness	positive	0.5	n
licentiousness	negative	-0.25	n
dissolution	positive	0.5	n
dissolution	negative	-0.25	n
dissipation	positive	0.5	n
dissipation	negative	-0.25	n
knavery	positive	0.5	n
dishonesty	positive	0.5	n
quackery	positive	0.125	n
charlatanism	positive	0.125	n
trick	positive	0.125	n
trick	negative	-0.125	n
setup	negative	-0.125	n
frame-up	negative	-0.125	n
paltering	positive	0.125	n
fibbing	positive	0.125	n
dissimulation	negative	-0.125	n
dissembling	negative	-0.125	n
deception	negative	-0.125	n
deceit	negative	-0.125	n
indirection	negative	-0.125	n
wile	negative	-0.25	n
trickery	negative	-0.25	n
shenanigan	negative	-0.25	n
guile	negative	-0.25	n
chicanery	negative	-0.25	n
chicane	negative	-0.25	n
duplicity	negative	-0.5	n
double-dealing	negative	-0.5	n
sophistication	positive	0.125	n
sophistication	negative	-0.375	n
put-on	negative	-0.125	n
humbug	negative	-0.125	n
hoax	negative	-0.125	n
fraudulence	negative	-0.125	n
fraud	negative	-0.125	n
dupery	negative	-0.125	n
goldbrick	positive	0.125	n
scam	negative	-0.125	n
cozenage	negative	-0.125	n
cheating	positive	0.625	n
cheat	positive	0.625	n
simulation	negative	-0.125	n
pretense	negative	-0.125	n
pretending	negative	-0.125	n
pretence	negative	-0.125	n
feigning	negative	-0.125	n
show	positive	0.125	n
appearance	positive	0.125	n
pretend	negative	-0.25	n
make-believe	negative	-0.25	n
masquerade	negative	-0.125	n
fall	positive	0.25	n
fall	negative	-0.5	n
actual sin	positive	0.625	n
actual sin	negative	-0.125	n
original sin	positive	0.125	n
original sin	negative	-0.125	n
mortal sin	positive	0.375	n
mortal sin	negative	-0.125	n
deadly sin	positive	0.375	n
deadly sin	negative	-0.125	n
venial sin	positive	0.25	n
venial sin	negative	-0.375	n
superbia	positive	0.625	n
superbia	negative	-0.25	n
pride	positive	0.625	n
pride	negative	-0.25	n
invidia	negative	-0.5	n
envy	negative	-0.5	n
rapacity	negative	-0.375	n
greed	negative	-0.375	n
covetousness	negative	-0.375	n
avaritia	negative	-0.375	n
avarice	negative	-0.375	n
sloth	positive	0.125	n
sloth	negative	-0.125	n
laziness	positive	0.125	n
laziness	negative	-0.125	n
acedia	positive	0.125	n
acedia	negative	-0.125	n
wrath	positive	0.125	n
wrath	negative	-0.75	n
ire	positive	0.125	n
ire	negative	-0.75	n
ira	positive	0.125	n
ira	negative	-0.75	n
anger	positive	0.125	n
anger	negative	-0.75	n
overeating	positive	0.125	n
gula	positive	0.125	n
gluttony	positive	0.125	n
luxuria	positive	0.5	n
lust	positive	0.5	n
international terrorism	negative	-0.375	n
crime	negative	-0.375	n
inside job	positive	0.25	n
assault	negative	-0.375	n
aggravated assault	negative	-0.375	n
battery	negative	-0.25	n
assault and battery	negative	-0.25	n
fraud	negative	-0.25	n
barratry	positive	0.125	n
mayhem	negative	-0.25	n
infringement of copyright	positive	0.125	n
infringement of copyright	negative	-0.125	n
copyright infringement	positive	0.125	n
copyright infringement	negative	-0.125	n
patent infringement	positive	0.125	n
patent infringement	negative	-0.125	n
disturbance of the peace	positive	0.125	n
disturbance of the peace	negative	-0.125	n
disorderly conduct	positive	0.125	n
disorderly conduct	negative	-0.125	n
disorderly behavior	positive	0.125	n
disorderly behavior	negative	-0.125	n
breach of the peace	positive	0.125	n
breach of the peace	negative	-0.125	n
public nudity	negative	-0.25	n
indecent exposure	negative	-0.25	n
perjury	negative	-0.25	n
lying under oath	negative	-0.25	n
bearing false witness	negative	-0.25	n
sedition	negative	-0.25	n
violation	positive	0.25	n
ravishment	positive	0.25	n
rape	positive	0.25	n
assault	positive	0.25	n
mugging	positive	0.125	n
mugging	negative	-0.375	n
tazir crime	negative	-0.5	n
statutory offense	negative	-0.5	n
statutory offence	negative	-0.5	n
regulatory offense	negative	-0.5	n
regulatory offence	negative	-0.5	n
thuggery	negative	-0.375	n
bigamy	negative	-0.25	n
abduction	negative	-1	n
peculation	negative	-0.25	n
misappropriation	negative	-0.25	n
misapplication	negative	-0.25	n
embezzlement	negative	-0.25	n
defalcation	negative	-0.25	n
mail fraud	negative	-0.25	n
legal fraud	positive	0.25	n
constructive fraud	positive	0.25	n
positive fraud	negative	-0.625	n
fraud in fact	negative	-0.625	n
fraud in law	positive	0.625	n
fraud in law	negative	-0.125	n
sting operation	positive	0.125	n
pilferage	negative	-0.125	n
robbery	negative	-0.25	n
vice crime	positive	0.125	n
vice crime	negative	-0.125	n
war crime	negative	-0.25	n
job	negative	-0.125	n
caper	negative	-0.125	n
rip-off	negative	-0.125	n
heist	negative	-0.125	n
rolling	negative	-0.125	n
joint venture	positive	0.25	n
forlorn hope	negative	-0.375	n
essay	negative	-0.25	n
foray	positive	0.375	n
mug's game	negative	-0.625	n
stab	negative	-0.25	n
shot	negative	-0.25	n
scuffle	negative	-0.125	n
scramble	negative	-0.125	n
anti-takeover defense	negative	-0.25	n
assay	positive	0.375	n
tryout	positive	0.375	n
audition	positive	0.375	n
trying on	positive	0.125	n
try-on	positive	0.125	n
fitting	positive	0.125	n
risky venture	positive	0.25	n
escapade	positive	0.25	n
dangerous undertaking	positive	0.25	n
adventure	positive	0.25	n
enterprise	positive	0.375	n
enterprise	negative	-0.25	n
endeavour	positive	0.375	n
endeavour	negative	-0.25	n
endeavor	positive	0.375	n
endeavor	negative	-0.25	n
labour of love	positive	0.375	n
labour of love	negative	-0.25	n
labor of love	positive	0.375	n
labor of love	negative	-0.25	n
no-brainer	positive	0.375	n
tall order	positive	0.25	n
tall order	negative	-0.25	n
large order	positive	0.25	n
large order	negative	-0.25	n
venture	positive	0.125	n
lost cause	negative	-0.125	n
reform	positive	0.375	n
reform	negative	-0.125	n
war	negative	-0.25	n
whispering campaign	negative	-0.375	n
risk	negative	-0.625	n
peril	negative	-0.625	n
danger	negative	-0.625	n
chance	positive	0.125	n
crapshoot	positive	0.375	n
long shot	positive	0.125	n
long shot	negative	-0.25	n
damage control	negative	-0.375	n
imperialism	negative	-0.125	n
quality control	positive	0.5	n
synchronizing	negative	-0.375	n
synchronization	negative	-0.375	n
synchronisation	negative	-0.375	n
freeze	positive	0.125	n
hiring freeze	positive	0.25	n
price freeze	positive	0.125	n
wage freeze	positive	0.125	n
constructive possession	negative	-0.25	n
criminal possession	negative	-0.125	n
rectal reflex	positive	0.125	n
rectal reflex	negative	-0.25	n
defecation reflex	positive	0.125	n
defecation reflex	negative	-0.25	n
dead reckoning	negative	-0.375	n
protection	negative	-0.125	n
saving	negative	-0.125	n
preservation	negative	-0.125	n
oil conservation	negative	-0.125	n
self-preservation	negative	-0.25	n
overshielding	negative	-0.5	n
overprotection	negative	-0.5	n
momism	negative	-0.5	n
secondary censorship	negative	-0.375	n
safeguard	positive	0.125	n
safeguard	negative	-0.125	n
precaution	positive	0.125	n
precaution	negative	-0.125	n
guard	positive	0.125	n
guard	negative	-0.125	n
security measures	negative	-0.25	n
security	negative	-0.25	n
defense	negative	-0.625	n
defence	negative	-0.625	n
defense	negative	-0.625	n
defence	negative	-0.625	n
vaccination	positive	0.375	n
vaccination	negative	-0.25	n
inoculation	positive	0.375	n
inoculation	negative	-0.25	n
patrol	positive	0.125	n
jujutsu	negative	-0.25	n
jujitsu	negative	-0.25	n
jiujitsu	negative	-0.25	n
taichichuan	positive	0.125	n
taichi	positive	0.125	n
tai chi chuan	positive	0.125	n
tai chi	positive	0.125	n
t'ai chi chuan	positive	0.125	n
t'ai chi	positive	0.125	n
covering	negative	-0.125	n
primping	positive	0.625	n
dressing	negative	-0.125	n
artificial respiration	negative	-0.25	n
abdominal breathing	negative	-0.25	n
eupnoea	negative	-0.625	n
eupnea	negative	-0.625	n
panting	negative	-0.25	n
heaving	negative	-0.25	n
gulping	negative	-0.125	n
gulp	negative	-0.125	n
engorgement	negative	-0.125	n
surfeit	negative	-0.5	n
repletion	negative	-0.5	n
tasting	negative	-0.125	n
savouring	negative	-0.125	n
savoring	negative	-0.125	n
relishing	negative	-0.125	n
degustation	negative	-0.125	n
nibble	positive	0.125	n
nibble	negative	-0.5	n
pinch	negative	-0.25	n
nip	negative	-0.25	n
omophagia	negative	-0.125	n
scatophagy	negative	-0.75	n
suckling	positive	0.25	n
lactation	positive	0.25	n
bondage	positive	0.125	n
outercourse	positive	0.25	n
outercourse	negative	-0.375	n
safe sex	positive	0.25	n
pleasure	positive	0.5	n
hank panky	positive	0.375	n
hank panky	negative	-0.25	n
statutory rape	positive	0.25	n
carnal abuse	positive	0.25	n
unlawful carnal knowledge	positive	0.375	n
criminal congress	positive	0.375	n
free love	positive	0.125	n
free love	negative	-0.25	n
extramarital sex	positive	0.125	n
extramarital sex	negative	-0.25	n
fornication	positive	0.25	n
fornication	negative	-0.375	n
incest	positive	0.125	n
natural family planning	negative	-0.375	n
ovulation method of family planning	negative	-0.125	n
ovulation method	negative	-0.125	n
stimulation	positive	0.5	n
foreplay	positive	0.5	n
arousal	positive	0.5	n
snuggling	positive	0.125	n
snuggling	negative	-0.375	n
smooching	positive	0.125	n
smooching	negative	-0.375	n
petting	positive	0.125	n
petting	negative	-0.375	n
necking	positive	0.125	n
necking	negative	-0.375	n
kissing	positive	0.125	n
kissing	negative	-0.375	n
hugging	positive	0.125	n
hugging	negative	-0.375	n
fondling	positive	0.125	n
fondling	negative	-0.375	n
cuddling	positive	0.125	n
cuddling	negative	-0.375	n
caressing	positive	0.125	n
caressing	negative	-0.375	n
feel	positive	0.375	n
sexual perversion	positive	0.375	n
perversion	positive	0.375	n
onanism	positive	0.125	n
masturbation	positive	0.125	n
self-stimulation	positive	0.125	n
self-abuse	positive	0.125	n
sleeping around	positive	0.375	n
promiscuousness	positive	0.375	n
promiscuity	positive	0.375	n
lechery	positive	0.25	n
lechery	negative	-0.25	n
queerness	positive	0.375	n
homosexuality	positive	0.375	n
homosexualism	positive	0.375	n
homoeroticism	positive	0.375	n
gayness	positive	0.375	n
straightness	positive	0.25	n
heterosexuality	positive	0.25	n
heterosexualism	positive	0.25	n
snooze	negative	-0.375	n
short sleep	negative	-0.375	n
nap	negative	-0.375	n
forty winks	negative	-0.375	n
catnap	negative	-0.375	n
cat sleep	negative	-0.375	n
zizz	negative	-0.5	n
response	positive	0.125	n
reaction	positive	0.125	n
automatism	positive	0.125	n
automatism	negative	-0.375	n
overreaction	positive	0.125	n
overreaction	negative	-0.375	n
complement fixation	negative	-0.25	n
geotropism	positive	0.125	n
meteortropism	positive	0.25	n
neurotropism	positive	0.125	n
kinesis	negative	-0.5	n
wince	positive	0.125	n
wince	negative	-0.375	n
flinch	positive	0.125	n
flinch	negative	-0.375	n
pupillary reflex	negative	-0.25	n
myosis	negative	-0.25	n
miosis	negative	-0.25	n
light reflex	negative	-0.25	n
pilomotor reflex	negative	-0.125	n
horripilation	negative	-0.125	n
gooseflesh	negative	-0.125	n
goosebump	negative	-0.125	n
goose skin	negative	-0.125	n
goose pimple	negative	-0.125	n
goose bump	negative	-0.125	n
startle	negative	-0.25	n
start	negative	-0.25	n
jump	negative	-0.25	n
tremble	negative	-0.375	n
shiver	negative	-0.375	n
shake	negative	-0.375	n
sniveling	positive	0.375	n
sniveling	negative	-0.125	n
snivel	positive	0.375	n
snivel	negative	-0.125	n
sobbing	positive	0.125	n
sobbing	negative	-0.25	n
sob	positive	0.125	n
sob	negative	-0.25	n
wailing	negative	-0.125	n
bawling	negative	-0.125	n
disapproval	negative	-0.125	n
rating	positive	0.125	n
evaluation	positive	0.125	n
scoring	positive	0.125	n
marking	positive	0.125	n
grading	positive	0.125	n
estimation	positive	0.5	n
estimate	positive	0.5	n
appraisal	positive	0.25	n
moralism	positive	0.125	n
sensing	positive	0.375	n
perception	positive	0.375	n
looking at	positive	0.125	n
looking	positive	0.125	n
look	positive	0.125	n
eye-beaming	positive	0.375	n
scrutiny	positive	0.125	n
peep	positive	0.125	n
peek	positive	0.125	n
glower	positive	0.125	n
glower	negative	-0.125	n
glare	positive	0.125	n
glare	negative	-0.125	n
contemplation	positive	0.125	n
gape	negative	-0.125	n
evil eye	positive	0.125	n
evil eye	negative	-0.375	n
spying	positive	0.125	n
eyeful	positive	0.5	n
tasting	positive	0.125	n
taste	positive	0.125	n
teaching	positive	0.25	n
pedagogy	positive	0.25	n
instruction	positive	0.25	n
educational activity	positive	0.25	n
education	positive	0.25	n
didactics	positive	0.25	n
continuing education	positive	0.25	n
adult education	negative	-0.625	n
extracurricular activity	negative	-0.5	n
teaching reading	positive	0.125	n
instilling	positive	0.125	n
ingraining	positive	0.125	n
inculcation	positive	0.125	n
directed study	negative	-0.625	n
industrial arts	positive	0.125	n
refresher course	negative	-0.375	n
refresher	negative	-0.375	n
fartlek	negative	-0.125	n
discipline	positive	0.125	n
training	positive	0.125	n
preparation	positive	0.125	n
grooming	positive	0.125	n
dress rehearsal	positive	0.375	n
dramatization	positive	0.125	n
dramatisation	positive	0.125	n
puppetry	positive	0.25	n
underexposure	negative	-0.125	n
knitting	negative	-0.25	n
underproduction	negative	-0.75	n
capacity	positive	0.125	n
culture	negative	-0.125	n
subsistence farming	negative	-0.25	n
tree surgery	negative	-0.375	n
placer mining	positive	0.125	n
dramatization	positive	0.125	n
dramatisation	positive	0.125	n
realization	positive	0.5	n
realisation	positive	0.5	n
actualization	positive	0.5	n
actualisation	positive	0.5	n
reification	positive	0.5	n
reification	negative	-0.125	n
depersonalization	positive	0.5	n
depersonalization	negative	-0.125	n
depersonalisation	positive	0.5	n
depersonalisation	negative	-0.125	n
embodiment	positive	0.125	n
artistic production	positive	0.25	n
artistic creation	positive	0.25	n
art	positive	0.25	n
arts and crafts	positive	0.125	n
decoupage	positive	0.125	n
gastronomy	positive	0.5	n
framing	positive	0.25	n
cutting	positive	0.25	n
carving	positive	0.25	n
exploration	positive	0.25	n
rummage	positive	0.125	n
rummage	negative	-0.625	n
ransacking	positive	0.125	n
ransacking	negative	-0.625	n
misuse	negative	-0.625	n
abuse	negative	-0.625	n
substance abuse	negative	-0.375	n
habit	negative	-0.375	n
drug abuse	negative	-0.375	n
misapplication	negative	-0.5	n
high technology	positive	0.25	n
high tech	positive	0.25	n
magnetic levitation	positive	0.125	n
maglev	positive	0.125	n
capitalization	positive	0.125	n
capitalisation	positive	0.125	n
limited war	negative	-0.125	n
war of nerves	negative	-0.5	n
psychological warfare	negative	-0.5	n
armageddon	negative	-0.75	n
close-quarter fighting	positive	0.125	n
contretemps	negative	-0.25	n
stand	negative	-0.25	n
biological defense	positive	0.125	n
biological defence	positive	0.125	n
biodefense	positive	0.125	n
biodefence	positive	0.125	n
hostility	negative	-0.375	n
aggression	negative	-0.375	n
hostilities	negative	-0.125	n
belligerency	negative	-0.125	n
meat grinder	negative	-0.625	n
domestic violence	negative	-0.375	n
rustling	positive	0.125	n
defloration	positive	0.125	n
ravaging	negative	-0.625	n
devastation	negative	-0.625	n
second crusade	negative	-0.25	n
fourth crusade	negative	-0.375	n
seventh crusade	negative	-0.125	n
storm	negative	-0.125	n
raid	negative	-0.125	n
maraud	negative	-0.125	n
foray	negative	-0.125	n
inroad	negative	-0.125	n
strike	negative	-0.25	n
