term	valence	score
itch	positive	-0.5
itching	positive	-0.25
itchy	positive	-0.5
jab	positive	-0.6
jabber	positive	-0.5
jabs	positive	-0.6
jackass	positive	-0.5
jackasses	positive	-0.5
jackfuck	negative	-1
jackpot	positive	1
jaded	positive	-0.8
jagged	positive	-0.6
jail	positive	-0.8
jailed	negative	-1
jam	negative	-1
jargon	positive	-0.4
jarring	positive	-0.5
jarringly	positive	-0.6
jaundice	positive	-0.8
jaundiced	positive	-0.8
jaw droping	positive	1
jaw dropping	positive	1
jealous	positive	-0.75
jealously	negative	-1
jealousness	negative	-1
jealousy	positive	-0.75
jeer	negative	-1
jeering	negative	-1
jeeringly	negative	-1
jeers	negative	-1
jeopardize	positive	-0.5
jeopardy	negative	-1
jerk	positive	-0.5
jerks	negative	-1
jerky	positive	-0.5
jest	positive	0.25
jettisoned	positive	-0.4
jewel	positive	0.6
jewels	positive	0.6
jitter	negative	-1
jitters	positive	-0.4
jittery	positive	-0.5
job killing	negative	-1
jobkilling	positive	-0.25
jobless	positive	-0.8
jocks	positive	-0.25
jocular	positive	0.6
join	positive	0.25
joined	positive	0.6
joke	positive	0.6
joker	positive	-0.1
jokes	positive	0.6
joking	positive	0.6
jokingly	positive	0.6
jollify	positive	1
jolly	positive	0.75
jolt	positive	-0.5
journey	positive	0.4
jovial	positive	1
joy	positive	0.75
joyful	positive	1
joyfully	positive	0.5
joyless	positive	-0.6
joyous	positive	0.75
joyously	positive	1
jubilant	positive	0.8
jubilantly	positive	1
jubilate	positive	1
jubilation	positive	1
jubiliant	positive	1
judder	negative	-1
juddering	negative	-1
judders	negative	-1
judicial	positive	-0.25
judicious	positive	0.5
jugular	positive	-0.4
jumpy	positive	-0.75
junk	positive	-0.5
junked	positive	-0.8
junky	negative	-1
junkyard	positive	-0.25
junta	positive	-0.25
juries	positive	-0.4
jurisdiction	positive	-0.25
justice	positive	1
justifiable	positive	0.8
justifiably	positive	1
justification	positive	0.25
justified	positive	1
justly	positive	1
jutter	negative	-1
jutters	negative	-1
juvenile	positive	-0.1
juxtaposition	positive	-0.25
kamikaze	negative	-1
kaput	positive	-0.25
karat	positive	0.4
keen	positive	0.5
keenly	positive	0.8
keenness	positive	0.8
keepsake	positive	0.6
keynote	positive	0.4
keystone	positive	0.6
kick	positive	-0.25
kid friendly	positive	1
kidding	positive	0.25
kidnap	positive	-0.5
kidnapped	negative	-1
kidnapping	negative	-1
kill	positive	-0.75
killed	positive	-0.5
killer	negative	-1
killers	negative	-1
killing	positive	-0.75
killjoy	negative	-1
kills	positive	-0.75
kilter	positive	-0.25
kind	positive	0.5
kinda like	negative	0
kinder	positive	0.6
kindliness	positive	1
kindly	positive	0.5
kindness	positive	0.5
kindred	positive	0.8
king	positive	0.1
kiss	positive	0.5
kiss of death	negative	-1
kitten	positive	0.1
knack	positive	0.6
knave	positive	-0.8
knell	positive	-0.5
knife	positive	-0.4
knight	positive	0.6
knighted	positive	0.6
knock	negative	-1
knotted	positive	-0.25
knowing	positive	0.6
knowledge	positive	0.6
knowledgeable	positive	0.6
knuckled	positive	-0.4
kook	positive	-0.25
kooky	positive	-0.25
kudos	positive	1
labor	positive	-0.4
labored	positive	-0.6
laborious	positive	-0.8
labors	positive	-0.25
labyrinth	positive	-0.25
labyrinths	positive	-0.4
lack	positive	-0.75
lackadaisical	positive	-0.75
lacked	positive	-0.5
lackey	positive	-0.25
lackeys	positive	-0.25
lacking	positive	-0.75
lackluster	positive	-0.5
lacks	positive	-0.25
laconic	negative	-1
laden	positive	-0.25
lag	positive	-0.75
lagged	positive	-0.5
lagging	positive	-0.75
laggy	negative	-1
lags	positive	-0.5
laid off	negative	-1
laidoff	positive	-0.6
lair	positive	-0.25
lambast	negative	-1
lambaste	positive	-0.8
lame	positive	-0.5
lame duck	negative	-1
lameduck	positive	-0.25
lament	positive	-0.75
lamentable	negative	-1
lamentably	negative	-1
lamenting	negative	-1
lanced	positive	-0.25
landfill	positive	-0.6
landfills	positive	-0.6
landmark	positive	0.25
landslide	positive	-0.25
languid	positive	-0.5
languish	positive	-0.5
languishing	positive	-0.8
languor	positive	-0.1
languorous	positive	-0.1
languorously	positive	-0.1
lanky	positive	-0.5
lapse	positive	-0.5
lapsed	positive	-0.4
lapses	positive	-0.4
larceny	negative	-1
large capacity	positive	1
lascivious	positive	-0.8
lashed	positive	-0.8
last ditch	negative	-1
late	positive	-0.25
latency	positive	-0.25
lateness	positive	-0.25
latent	positive	-0.25
latrines	positive	-0.6
laud	positive	1
laudable	positive	0.5
laudably	positive	1
laugh	positive	0.5
laughable	positive	-0.5
laughably	positive	-0.25
laughed	positive	0.8
laughing	positive	0.6
laughingstock	positive	-0.8
laughs	positive	0.8
laughter	positive	0.8
launch	positive	-0.1
launched	positive	0.25
laureate	positive	0.8
lava	positive	-0.25
lavish	positive	0.5
lavishly	positive	0.6
law abiding	positive	1
lawabiding	positive	1
lawbreaker	positive	-0.8
lawbreaking	positive	-0.8
lawful	positive	0.25
lawfully	positive	0.8
lawless	negative	-1
lawlessness	positive	-0.5
lawsuit	positive	-0.5
lawsuits	positive	-0.6
lawyer	positive	-0.25
lawyered	positive	-0.6
lawyerly	positive	-0.4
laxative	positive	-0.6
layoff	negative	-1
layoff happy	negative	-1
laziness	negative	-1
lazy	positive	-0.75
lead	positive	0.25
leaden	positive	-0.25
leader	positive	0.25
leading	positive	0.25
leads	positive	0.4
league	positive	0.25
leak	positive	-0.75
leakage	positive	-0.5
leakages	positive	-0.8
leaked	positive	-0.5
leaking	positive	-0.5
leaks	positive	-0.5
leaky	positive	-0.75
lean	positive	0.6
learn	positive	0.8
learning	positive	0.8
leave	positive	-0.25
lech	positive	-0.6
lecher	negative	-1
lecherous	negative	-1
lechery	negative	-1
led	positive	0.4
leech	positive	-0.5
leeches	positive	-0.6
leer	positive	-0.5
leery	negative	-1
leeway	positive	0.4
left leaning	negative	-1
legacy	positive	0.6
legal	positive	0.25
legalized	positive	0.6
legally	positive	0.8
legendary	positive	0.75
legibility	positive	0.8
legible	positive	0.5
legitimate	positive	0.8
leisure	positive	0.8
leisurely	positive	0.8
lemon	negative	-1
lengthy	positive	-0.25
lenient	positive	0.5
lepers	positive	-0.6
leprosy	negative	-1
lesbian	positive	-0.25
less developed	negative	-1
lessdeveloped	positive	-0.25
lessen	positive	-0.25
lessened	positive	-0.25
lesser	positive	-0.25
lesser known	negative	-1
lesserknown	positive	-0.25
lesson	positive	0.4
letch	negative	-1
lethal	positive	-0.5
lethargic	positive	-0.5
lethargy	positive	-0.75
leukemia	positive	-0.5
level	positive	0.4
leveled	positive	-0.25
leverage	positive	0.25
levity	positive	0.25
levy	positive	-0.25
lewd	positive	-0.75
lewdly	negative	-1
lewdness	negative	-1
liability	positive	-0.5
liable	positive	-0.25
liar	negative	-1
liars	positive	-0.5
libel	positive	-0.8
libelous	positive	-0.8
liberate	positive	0.5
liberated	positive	0.8
liberation	positive	0.5
liberty	positive	0.5
library	positive	0.6
licentious	negative	-1
licentiously	negative	-1
licentiousness	negative	-1
lie	positive	-0.5
lied	positive	-0.5
lier	positive	-0.8
lies	negative	-1
life threatening	negative	-1
lifeblood	positive	0.25
lifeless	positive	-0.75
lifesaver	positive	0.5
lifethreatening	negative	-1
light hearted	positive	1
lighten	positive	0.25
lighter	positive	0.4
lighthearted	positive	0.8
lighthouse	positive	0.6
lightness	positive	0.6
likable	positive	0.5
like	positive	0.5
liked	positive	0.5
likes	positive	0.5
liking	positive	0.5
lilting	positive	0.4
limit	positive	-0.25
limitation	positive	-0.5
limitations	positive	-0.25
limited	positive	-0.75
limits	positive	-0.25
limp	positive	-0.5
limped	positive	-0.8
limping	positive	-0.8
linchpin	positive	-0.25
lingering	positive	-0.4
lingers	positive	-0.4
lint	positive	-0.25
lion	positive	0.1
lionhearted	positive	0.8
listless	positive	-0.75
listlessness	positive	-0.8
lithe	positive	0.25
litigant	positive	-0.4
litigate	positive	-0.4
litigation	positive	-0.5
litigious	positive	-0.75
litter	positive	-0.6
little known	negative	-1
lively	positive	0.75
livid	positive	-0.75
lividly	positive	-0.4
loaf	positive	-0.25
loafer	positive	-0.25
loafing	positive	-0.25
loath	positive	-0.5
loathe	positive	-0.75
loathed	negative	-1
loathes	negative	-1
loathing	negative	-1
loathly	negative	-1
loathsome	positive	-0.5
loathsomely	negative	-1
lobbyist	positive	-0.25
lockup	positive	-0.6
locust	positive	-0.6
locusts	positive	-0.25
lofty	positive	-0.25
logical	positive	0.5
lolls	positive	-0.25
lone	positive	-0.25
loneliest	negative	-1
loneliness	positive	-0.75
lonely	positive	-0.75
loner	positive	-0.5
lonesome	positive	-0.75
long lasting	positive	1
long winded	negative	-1
longevity	positive	0.8
longing	positive	-0.25
longingly	positive	-0.25
longlasting	positive	0.6
longs	positive	-0.25
longwinded	positive	-0.4
looking forward to	positive	1
loom	positive	-0.5
loomed	positive	-0.6
looming	positive	-0.6
looms	positive	-0.4
loon	positive	-0.25
loony	positive	-0.6
loophole	positive	-0.25
loopholes	positive	-0.25
loose	positive	-0.25
loot	positive	-0.5
looters	positive	-0.8
lopsided	positive	-0.6
lordship	positive	0.4
lorn	positive	-0.8
lose	positive	-0.25
loser	positive	-0.5
losers	negative	-1
loses	negative	-1
losing	positive	-0.75
loss	positive	-0.75
losses	positive	-0.8
lost	positive	-0.75
loud	positive	-0.25
louder	positive	-0.25
loudmouthed	positive	-0.8
louse	positive	-0.8
lousy	negative	-1
lovable	positive	0.75
lovably	positive	1
love	positive	0.75
loved	positive	0.5
loveless	positive	-0.6
lovelies	positive	1
loveliness	positive	1
lovelorn	positive	-0.25
lovely	positive	0.75
lovemaking	positive	0.5
lover	positive	0.5
lovers	positive	0.25
loves	positive	1
loving	positive	0.75
low cost	positive	1
low price	positive	1
low priced	positive	1
low quality	negative	-1
low rated	negative	-1
low risk	positive	1
lowcost	positive	0.8
lower cost	positive	1
lower priced	positive	1
lowerpriced	positive	0.8
lowest	positive	-0.75
lowly	positive	-0.5
lowprice	positive	0.8
lowpriced	positive	0.8
lowrated	positive	-0.25
lowrisk	positive	0.8
loyal	positive	1
loyalty	positive	0.75
lucid	positive	0.25
lucidly	positive	0.25
luck	positive	0.75
luckier	positive	0.5
luckiest	positive	1
luckily	positive	0.5
luckiness	positive	1
lucky	positive	0.75
lucrative	positive	1
ludicrous	positive	-0.75
ludicrously	positive	-0.8
lugubrious	positive	-0.5
lukewarm	positive	-0.25
lull	negative	-1
lullaby	positive	0.8
lumbering	positive	-0.25
luminesced	positive	0.4
luminous	positive	0.5
lumpy	positive	-0.5
lunacy	positive	-0.8
lunatic	positive	-0.75
lunaticism	negative	-1
lunatics	negative	-1
lunged	positive	-0.4
lurch	positive	-0.5
lurched	positive	-0.8
lurches	positive	-0.8
lure	positive	-0.5
lured	positive	-0.25
lurid	positive	-0.75
lurk	positive	-0.75
lurking	negative	-1
lurks	positive	-0.8
luscious	positive	0.5
lush	positive	0.1
lust	positive	-0.25
luster	positive	0.5
lustful	positive	-0.25
lustrous	positive	0.5
luxuriant	positive	0.5
luxuriate	positive	0.8
luxuries	positive	0.8
luxurious	positive	0.75
luxuriously	positive	0.8
luxury	positive	0.5
lying	positive	-0.5
lyre	positive	0.4
lyrical	positive	0.5
macabre	negative	-1
mace	positive	-0.6
machiavellian	negative	-1
mad	positive	-0.75
madden	negative	-1
maddening	positive	-0.5
maddeningly	negative	-1
madder	positive	-0.8
madly	positive	0.75
madman	positive	-0.75
madness	negative	-1
mafia	positive	-0.8
maggot	positive	-0.6
magic	positive	0.25
magical	positive	0.75
magnanimous	positive	0.6
magnanimously	positive	0.6
magnet	positive	0.4
magnetism	positive	0.25
magnificence	positive	0.75
magnificent	positive	0.5
magnificently	positive	0.8
maiden	positive	0.25
maiming	positive	-0.8
main	positive	0.4
mainstay	positive	0.4
maintaining	positive	0.6
majestic	positive	0.5
majesty	positive	0.5
major	positive	0.4
majoring	positive	0.6
majority	positive	0.25
maladjusted	negative	-1
maladjustment	negative	-1
malady	positive	-0.5
malaise	positive	-0.75
malaria	negative	-1
malcontent	negative	-1
malcontented	negative	-1
maledict	negative	-1
malevolence	negative	-1
malevolent	positive	-0.75
malevolently	negative	-1
malfeasance	negative	-1
malformation	negative	-1
malfunction	negative	-1
malice	positive	-0.5
malicious	positive	-0.5
maliciously	negative	-1
maliciousness	negative	-1
malign	positive	-0.5
malignancy	negative	-1
malignant	positive	-0.5
maligned	negative	-1
malodorous	negative	-1
malpractice	negative	-1
maltreatment	negative	-1
manage	positive	0.4
manageable	positive	0.8
management	positive	0.4
mandatory	positive	-0.6
maneuverable	positive	0.8
mange	positive	-0.8
mangle	positive	-0.5
mangled	negative	-1
mangles	negative	-1
mangling	negative	-1
mangy	negative	-1
manhood	positive	0.25
mania	positive	-0.5
maniac	positive	-0.5
maniacal	positive	-0.5
manic	positive	-0.5
manifested	positive	0.25
manipulate	positive	-0.5
manipulated	positive	-0.6
manipulating	positive	-0.8
manipulation	negative	-1
manipulative	positive	-0.5
manipulators	positive	-0.8
mankind	positive	0.4
manly	positive	0.1
manmade	positive	0.4
mannered	positive	0.6
manners	positive	0.1
manslaughter	negative	-1
manufacturers	positive	-0.25
manure	positive	-0.6
mar	positive	-0.5
marginal	positive	-0.4
marginally	positive	-0.4
marketable	positive	0.8
markets	positive	0.1
marriage	positive	0.6
marrow	positive	-0.4
marry	positive	0.6
marrying	positive	0.6
marshal	positive	-0.25
marshes	positive	-0.25
martial	positive	-0.4
martyr	positive	-0.4
martyrdom	positive	-0.5
martyrdom seeking	negative	-1
marvel	positive	0.75
marveled	positive	0.8
marvelled	positive	1
marvellous	positive	1
marvelous	positive	1
marvelously	positive	0.5
marvelousness	positive	1
marvels	positive	0.5
masculine	positive	0.4
masculinity	positive	-0.25
mashed	positive	-0.25
masochism	positive	-0.8
massacre	positive	-0.5
massacres	negative	-1
massage	positive	0.5
master	positive	1
masterful	positive	1
masterfully	positive	1
masterpiece	positive	1
masterpieces	positive	0.75
masters	positive	0.1
mastery	positive	0.25
masturbatory	positive	-0.25
matchless	positive	-0.6
mate	positive	0.6
materialism	positive	-0.6
materialist	positive	-0.6
maternity	positive	0.6
matrimony	positive	0.6
matron	positive	0.1
matte	negative	-1
matted	positive	-0.4
mature	positive	0.75
maturely	positive	1
maturity	positive	1
mauled	positive	-0.8
maw	positive	-0.6
mawkish	positive	-0.25
mawkishly	positive	-0.25
mawkishness	positive	-0.25
meadow	positive	0.6
meager	positive	-0.8
meandered	positive	0.25
meandering	positive	0.25
meanest	negative	-1
meaningful	positive	0.5
meaningless	positive	-0.75
meanness	negative	-1
measles	positive	-0.8
measly	positive	-0.5
measured	positive	0.4
medal	positive	0.25
meddle	positive	-0.5
meddlesome	negative	-1
mediation	positive	-0.4
mediator	positive	-0.4
mediocre	positive	-0.75
mediocrity	positive	-0.75
meditate	positive	0.6
meditated	positive	0.6
meditation	positive	0.6
meditative	positive	0.6
medley	positive	0.6
melancholic	negative	-1
melancholy	positive	-0.75
melee	positive	-0.4
melodrama	positive	-0.25
melodramatic	positive	-0.25
melodramatically	positive	-0.25
meltdown	positive	-0.75
memento	positive	0.25
memorable	positive	0.5
menace	positive	-0.75
menaced	positive	-0.8
menacing	positive	-0.5
menacingly	positive	-0.8
mendacious	positive	-0.8
mendacity	positive	-0.8
mending	positive	0.25
menial	positive	-0.5
mentor	positive	0.8
mercenary	positive	-0.25
merciful	positive	0.5
mercifully	positive	0.6
merciless	positive	-0.5
mercilessly	negative	-1
mercy	positive	1
merit	positive	0.75
meritorious	positive	0.5
merrily	positive	1
merriment	positive	0.5
merriness	positive	1
merry	positive	1
mesmerize	positive	0.4
mesmerized	positive	0.25
mesmerizes	positive	0.4
mesmerizing	positive	0.6
mesmerizingly	positive	0.6
mess	positive	-0.75
messed	positive	-0.5
messes	positive	-0.8
messiah	positive	1
messing	negative	-1
messy	positive	-0.5
metaphorical	positive	0.25
metastasis	positive	-0.6
methodical	positive	-0.25
meticulous	positive	0.25
meticulously	positive	0.25
mettle	positive	-0.8
midget	positive	-0.25
midwesterner	positive	0.25
miff	negative	-1
mightily	positive	1
mighty	positive	0.75
mildew	negative	-1
militancy	positive	-0.8
mimicry	positive	-0.6
mincing	positive	-0.25
mind blowing	positive	1
mindblowing	positive	-0.25
mindfuck	negative	-1
mindfucker	negative	-1
mindful	positive	1
mindfulness	positive	1
mindless	positive	-0.5
mindlessly	negative	-1
minimize	positive	-0.25
minority	positive	-0.25
miracle	positive	0.75
miracles	positive	0.8
miraculous	positive	0.5
miraculously	positive	1
miraculousness	positive	1
mirage	positive	-0.25
mire	positive	-0.5
mirth	positive	0.5
mirthful	positive	0.5
mirthfully	positive	1
misalign	negative	-1
misaligned	negative	-1
misaligns	negative	-1
misapprehend	negative	-1
misbecome	positive	-0.25
misbecoming	positive	-0.25
misbegotten	negative	-1
misbehave	positive	-0.5
misbehaved	negative	-1
misbehaves	negative	-1
misbehaving	negative	-1
misbehavior	positive	-0.5
miscalculate	positive	-0.8
miscalculated	positive	-0.8
miscalculation	positive	-0.8
miscarriage	positive	-0.5
miscarriages	positive	-0.8
miscellaneous	negative	-1
mischief	positive	-0.75
mischiefs	positive	-0.8
mischievous	positive	-0.5
mischievously	positive	-0.8
misconception	positive	-0.75
misconceptions	positive	-0.8
misconduct	negative	-1
miscreant	negative	-1
miscreants	negative	-1
misdirected	positive	-0.8
misdirection	positive	-0.8
miser	negative	-1
miserable	negative	-1
miserableness	negative	-1
miserably	positive	-0.5
miseries	positive	-0.5
miserly	negative	-1
misery	positive	-0.75
misfit	positive	-0.8
misfortune	positive	-0.75
misfortunes	negative	-1
misgiving	positive	-0.5
misgivings	negative	-1
misguidance	negative	-1
misguide	negative	-1
misguided	positive	-0.75
mishandle	positive	-0.8
mishap	positive	-0.5
misinform	negative	-1
misinformation	positive	-0.5
misinformed	positive	-0.5
misinterpret	positive	-0.5
misinterpretation	positive	-0.8
misinterpreted	positive	-0.8
misjudge	positive	-0.8
misjudgment	positive	-0.8
mislaid	positive	-0.8
mislead	positive	-0.5
misleading	negative	-1
misleadingly	negative	-1
misled	negative	-1
mislike	negative	-1
mismanage	negative	-1
mismanagement	negative	-1
mismatch	positive	-0.8
misnomer	positive	-0.8
misogynist	negative	-1
misplace	positive	-0.8
misplaced	positive	-0.5
mispronounce	positive	-0.25
mispronounced	positive	-0.25
mispronounces	positive	-0.25
misread	positive	-0.75
misreading	positive	-0.5
misreporting	positive	-0.8
misrepresent	positive	-0.5
misrepresentation	positive	-0.75
misrepresented	positive	-0.8
miss	negative	-1
missed	positive	-0.5
misses	negative	-1
missing	positive	-0.5
misstatement	positive	-0.5
mist	positive	-0.25
mistake	positive	-0.75
mistaken	negative	-1
mistakenly	positive	-0.8
mistakes	positive	-0.5
mistaking	positive	-0.8
mistified	negative	-1
mistreated	negative	-1
mistress	positive	-0.5
mistrust	positive	-0.5
mistrustful	positive	-0.8
mistrustfully	positive	-0.8
mists	negative	-1
misunderstand	positive	-0.75
misunderstanding	positive	-0.75
misunderstandings	positive	-0.8
misunderstands	positive	-0.8
misunderstood	positive	-0.75
misuse	positive	-0.5
misused	positive	-0.8
mite	positive	-0.25
mites	positive	-0.25
moan	positive	-0.75
moaned	positive	-0.25
moaning	positive	-0.25
moans	positive	-0.6
mob	positive	-0.8
mobster	negative	-1
mock	positive	-0.75
mocked	positive	-0.5
mockeries	negative	-1
mockery	positive	-0.5
mocking	positive	-0.75
mockingly	positive	-0.6
mocks	positive	-0.5
model	positive	0.4
moderate	positive	0.4
moderator	positive	0.4
modern	positive	0.6
modest	positive	0.75
modesty	positive	0.5
moisture	positive	-0.25
mole	positive	-0.4
moles	positive	-0.4
molest	positive	-0.8
molestation	positive	-0.75
mollified	positive	0.4
molotov	positive	-0.25
momentous	positive	0.6
momentum	positive	0.1
monetary	positive	0.4
money	positive	0.6
monopolist	positive	-0.25
monopolize	positive	-0.6
monopolized	positive	-0.6
monopolizes	positive	-0.6
monopolizing	positive	-0.6
monotone	positive	-0.6
monotonous	positive	-0.8
monotony	positive	-0.8
monsoon	positive	-0.25
monster	positive	-0.5
monstrosities	negative	-1
monstrosity	positive	-0.5
monstrous	positive	-0.5
monstrously	negative	-1
monument	positive	0.6
monumental	positive	0.8
monumentally	positive	0.8
monuments	positive	0.6
moody	positive	-0.75
moot	positive	-0.25
mope	positive	-0.5
mopey	negative	-1
moping	negative	-1
moral	positive	0.1
morality	positive	0.5
morals	positive	0.8
morbid	positive	-0.5
morbidity	negative	-1
morbidly	negative	-1
mordant	positive	-0.6
mordantly	positive	-0.6
morgue	positive	-0.8
moribund	positive	-0.5
moron	positive	-0.75
moronic	positive	-0.5
morons	positive	-0.5
morphed	positive	-0.4
mortal	positive	-0.25
mortality	positive	-0.5
mortals	positive	-0.25
mortar	positive	-0.4
mortars	positive	-0.4
mortgage	positive	-0.4
mortgaged	positive	-0.4
mortician	positive	-0.6
mortification	positive	-0.75
mortified	negative	-1
mortify	negative	-1
mortifying	negative	-1
mortuary	positive	-0.8
mosquito	positive	-0.25
motherfucker	negative	-1
motherfucking	negative	-1
motherhood	positive	0.6
motherly	positive	0.8
motionless	positive	-0.4
motivate	positive	0.8
motivated	positive	0.5
motivating	positive	1
motivation	positive	0.8
motivators	positive	0.8
motley	positive	-0.25
mottled	positive	-0.4
mountaintops	positive	0.6
mourn	negative	-1
mourned	positive	-0.8
mourner	negative	-1
mournful	negative	-1
mournfully	negative	-1
mourning	positive	-0.5
mourns	negative	-1
muck	positive	-0.5
mud	positive	-0.25
muddle	positive	-0.25
muddled	positive	-0.25
muddy	positive	-0.25
mudslinger	positive	-0.8
mudslinging	positive	-0.8
mulish	positive	-0.8
multi polarization	negative	-1
multi purpose	positive	1
multiplying	positive	-0.25
multipurpose	positive	0.6
mumble	positive	-0.6
mumps	positive	-0.8
mundane	negative	-1
mural	positive	0.1
murder	positive	-0.75
murdered	negative	-1
murderer	negative	-1
murderess	negative	-1
murdering	negative	-1
murderous	negative	-1
murderously	negative	-1
murders	negative	-1
murky	positive	-0.75
murmur	positive	-0.25
muscle flexing	negative	-1
muscular	positive	0.6
mushy	positive	-0.25
music	positive	0.6
musical	positive	0.6
musty	positive	-0.5
mutant	positive	-0.25
mutilated	negative	-1
mutilation	negative	-1
mutiny	negative	-1
mutter	positive	-0.5
mutual	positive	0.6
muzzle	positive	-0.5
myopia	positive	-0.6
mysterious	positive	-0.4
mysteriously	positive	-0.5
mystery	positive	-0.4
mystify	positive	-0.25
myth	positive	-0.25
nab	positive	-0.6
nadir	positive	-0.25
nag	positive	-0.75
nagging	negative	-1
naive	positive	-0.25
naively	positive	-0.5
nameless	positive	-0.25
nap	positive	0.1
narcotic	positive	-0.8
narrower	negative	-1
nastiest	negative	-1
nastily	negative	-1
nastiness	negative	-1
nasty	negative	-1
natural	positive	0.6
naturalist	positive	0.6
naughty	positive	-0.5
nausea	positive	-0.5
nauseate	negative	-1
nauseated	negative	-1
nauseates	negative	-1
nauseating	positive	-0.5
nauseatingly	negative	-1
nauseous	negative	-1
navigable	positive	0.75
neat	positive	0.8
neatest	positive	0.8
neatly	positive	0.5
nebulous	negative	-1
nebulously	negative	-1
nectar	positive	0.6
needless	positive	-0.6
needlessly	positive	-0.6
needy	negative	-1
nefarious	positive	-0.5
nefariously	negative	-1
negate	positive	-0.8
negation	positive	-0.25
negative	positive	-0.75
negatives	positive	-0.8
negativity	positive	-0.5
neglect	positive	-0.75
neglected	positive	-0.75
neglecting	positive	-0.25
neglects	positive	-0.8
negligence	positive	-0.5
negligent	positive	-0.75
negligently	negative	-1
negotiate	positive	-0.4
negotiator	positive	-0.4
neighbor	positive	0.4
nemesis	negative	-1
nepotism	positive	-0.5
nerve	positive	-0.4
nerves	positive	-0.4
nervous	positive	-0.75
nervously	positive	-0.5
nervousness	positive	-0.5
nervy	positive	-0.4
nested	positive	0.4
nestle	positive	0.6
nettle	negative	-1
nettlesome	positive	-0.4
neurosis	positive	-0.8
neurotic	positive	-0.5
neurotically	positive	-0.8
new	positive	0.8
newswoman	positive	0.25
nibbles	positive	-0.25
nibbling	positive	-0.25
nice	positive	0.5
nicely	positive	1
nicer	positive	1
nicest	positive	1
nicotine	positive	-0.25
nifty	positive	0.5
nigger	positive	-0.75
niggle	positive	-0.25
niggles	positive	-0.25
nightmare	positive	-0.75
nightmares	negative	-1
nightmarish	negative	-1
nightmarishly	positive	-0.25
nightsticks	positive	-0.6
nihilism	positive	-0.8
nimble	positive	0.4
nipples	positive	-0.25
nirvana	positive	0.8
nitpick	negative	-1
nitpicking	negative	-1
nobel	positive	1
nobility	positive	0.1
noble	positive	0.75
nobleman	positive	0.6
nobly	positive	1
noise	negative	-1
noiseless	positive	1
noises	negative	-1
noisier	negative	-1
noisy	positive	-0.75
nomination	positive	0.6
non confidence	negative	-1
non violence	positive	1
non violent	positive	1
nonbelievers	positive	-0.6
noncompliance	positive	-0.8
nonexistent	positive	-0.6
nonresponsive	positive	-0.8
nonsense	positive	-0.75
nonsensical	positive	-0.8
nonviolence	positive	0.8
nonviolent	positive	0.8
noose	positive	-0.5
normalcy	positive	0.6
normality	positive	0.6
nosey	positive	-0.25
nostalgic	positive	0.4
nosy	positive	-0.25
not working	negative	-1
notable	positive	0.6
notables	positive	0.6
notably	positive	0.6
noted	positive	0.6
noteworthy	positive	0.8
nothingness	positive	-0.25
notoriety	positive	0.25
notorious	positive	-0.75
notoriously	positive	-0.4
nourish	positive	0.8
nourishing	positive	0.8
nourishment	positive	0.25
novel	positive	0.1
novelty	positive	0.5
novice	positive	-0.25
noxious	positive	-0.75
nuclear	positive	-0.4
nuisance	positive	-0.5
nullify	positive	-0.6
numb	positive	-0.75
numbed	positive	-0.6
numbly	positive	-0.25
numbness	positive	-0.6
nurse	positive	-0.25
nursed	positive	0.25
nursery	positive	0.6
nurture	positive	0.8
nurturing	positive	0.5
nutcase	negative	-1
nuthouse	negative	-1
nutritious	positive	1
nuts	positive	-0.25
nuzzled	positive	0.4
nuzzling	positive	0.25
nymphs	positive	0.4
oaf	negative	-1
oasis	positive	0.5
oath	positive	0.4
obedience	positive	0.25
obese	positive	-0.75
obesity	positive	-0.6
obit	positive	-0.25
obituary	positive	-0.6
object	negative	-1
objection	positive	-0.25
objectionable	positive	-0.5
objections	positive	-0.6
objective	positive	0.4
obligated	positive	-0.4
oblige	positive	-0.1
obliging	positive	-0.25
oblique	positive	-0.4
obliterate	positive	-0.75
obliterated	positive	-0.75
obliteration	negative	-1
oblivion	positive	-0.8
oblivious	positive	-0.6
obnoxious	positive	-0.75
obnoxiously	negative	-1
obscene	negative	-1
obscenely	negative	-1
obscenity	positive	-0.5
obscure	positive	-0.6
obscured	positive	-0.6
obscures	positive	-0.6
obscurity	positive	-0.5
observant	positive	0.6
observatories	positive	0.4
obsess	positive	-0.4
obsessed	positive	-0.4
obsessing	positive	-0.6
obsession	positive	-0.4
obsessions	positive	-0.4
obsessive	positive	-0.5
obsessively	positive	-0.6
obsessiveness	positive	-0.6
obsolete	positive	-0.5
obstacle	positive	-0.75
obstacles	positive	-0.8
obstinate	positive	-0.75
obstinately	positive	-0.8
obstruct	positive	-0.5
obstructed	positive	-0.8
obstructing	positive	-0.8
obstruction	positive	-0.5
obstructive	positive	-0.25
obstructs	positive	-0.8
obtainable	positive	0.5
obtained	positive	0.8
obtaining	positive	0.8
obtrusive	negative	-1
obtuse	positive	-0.5
occlude	positive	-0.6
occluded	positive	-0.6
occludes	positive	-0.6
occluding	positive	-0.6
occult	positive	-0.8
occupation	positive	0.1
occupy	positive	0.25
odd	positive	-0.25
odder	positive	-0.6
oddest	positive	-0.5
oddities	positive	-0.6
oddity	positive	-0.5
oddly	positive	-0.6
odious	negative	-1
odor	negative	-1
